¿Eres fan de los triples?;¿Cuántos años tienes?;Género;¿En qué distrito de Lima Metropolitana resides o pasas la mayor parte de tu tiempo?;¿Con qué frecuencia consumes triples durante la semana?;¿En qué momento disfrutas más de este tipo de snack? (Selecciona todas las que apliquen);¿Dónde compras tus triples actualmente?;¿Qué valoras más al elegir un triple?;¿Cuál de estas presentaciones de Triple X te parece más atractiva y deliciosa?;¿Qué tipo de cremas o salsas te gustaría que acompañen nuestros triples? (Selecciona todas las que apliquen);¿Tienes en mente alguna crema especial que no viste en la lista anterior y te encantaría que acompañe nuestros triples?;Si tuvieras la oportunidad de probar un nuevo triple fácil de llevar, con rellenos sabrosos y diferentes, ¿qué tanto te interesaría?;¿Qué tan dispuesto(a) estás a probar sabores nuevos en productos como los triples?;¿Con qué te gustaría acompañar tu triple al momento de comerlo? (Selecciona todas las que apliquen);Considerando un triple de buena calidad y tamaño, ¿Cuánto te parecería justo pagar?;¿Dónde te gustaría poder comprar este Triple X? (Selecciona todas las que apliquen);¿Con qué frecuencia utilizarías un servicio de delivery para pedir estos triples?;Si el producto cumple con tus expectativas, ¿qué tan probable sería que lo recomiendes a un amigo o familiar?;¿Tienes algún comentario, sugerencia o idea adicional que quieras compartir con nosotros sobre este nuevo producto?
Sí, me encantan;Menos de 18 años;Femenino;El Agustino;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Tiendas de conveniencia (Tambo, Oxxo, etc.);Sabor delicioso;La golosito (pollito a la brasa con papitas);Ketchup;¡Definitivamente una crema de aguacate y jalapeño, picantita y fresca! 🔥🥑;Nada interesado;A veces pruebo cosas nuevas;Con papas (fritas, nativas o al hilo);Menos de S/ 11.00;Kioscos o carretillas;Nunca;Nada probable;¡Increíble! Potencial para recetas virales y fáciles en casa, ¡apúntate!
Sí, me encantan;18 - 24 años;Masculino;La Victoria;4 a 6 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Precio accesible;La golosito (pollito a la brasa con papitas);Ketchup;¡Uf, necesito calma! ¿Una crema de aguacate y cilantro, porfa? 🙏🥑🌿;Interesado;No me gusta experimentar;Prefiero solo el triple, sin acompañamientos;Más de S/ 20.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Nunca;Neutro;¡Delicioso! Necesito esto para relajarme y volver a conectar conmigo misma. ✨
Sí, me encantan;Más de 45 años;Femenino;Lurigancho-Chosica;Todos los días;Como almuerzo o cena ligera;Directo en redes sociales;Tamaño práctico y fácil de llevar;La golosito (pollito a la brasa con papitas);Tártara;¡Crema de aguacate con un toque picante de jalapeño, porfa! 🥑🌶️;Nada interesado;No me gusta experimentar;Con cerveza u otra bebida alcohólica;Entre S/ 12.00 y S/ 13.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Siempre;Nada probable;¡Sabe a aventura! Añadir semillas para más textura y energía.
No, no son lo mío;Menos de 18 años;Femenino;Villa El Salvador;4 a 6 veces por semana;En eventos o celebraciones pequeñas;Apps de delivery;Precio accesible;La picante (pollo deshilachado, con salsa BBQ);Ají criollo;Hummus de pimiento rojo picante, ¡perfecto para jugar y picar!;Muy interesado;A veces pruebo cosas nuevas;Con cerveza u otra bebida alcohólica;Más de S/ 20.00;Directo en redes sociales;Siempre;Poco probable;Perfecto para recargar energías entre partida y trabajo, ¡me encanta!
No, no son lo mío;35 - 44 años;Femenino;Jesús María;Rara vez o nunca;Como almuerzo o cena ligera;Supermercados;Precio accesible;La picante (pollo deshilachado, con salsa BBQ);Mayonesa;Hummus de pimiento rojo ahumado, ¡sería la combinación perfecta!;Muy interesado;Prefiero los sabores clásicos;Con papas (fritas, nativas o al hilo);Menos de S/ 11.00;Directo en redes sociales;A veces;Poco probable;Me gusta la practicidad, pero analizaría bien la tabla nutricional.
No, no son lo mío;18 - 24 años;Femenino;Comas;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Supermercados;Tamaño práctico y fácil de llevar;La insaciable (chorizo con chimichurri);Ketchup;¡Ají amarillo cremoso! Perfecto para maridar y ver mi serie.;Muy interesado;Me encanta innovar;Prefiero solo el triple, sin acompañamientos;Entre S/ 16.00 y S/ 20.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);A veces;Nada probable;¡Sabor auténtico! Perfecto para maratonear series, ¡quiero más opciones!
Sí, me encantan;25 - 34 años;Masculino;San Martín de Porres;Una vez por semana o menos;En reuniones con amigos o familiares;Apps de delivery;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Mayonesa;¡Mmm, dulce de leche con brownie desmoronado! ¡Sería lo máximo!;Muy interesado;Prefiero los sabores clásicos;Con gaseosa, jugo o agua;Más de S/ 20.00;Apps de delivery;A veces;Probable;¡Me vendría genial algo rápido y rico, entre serie y niños!
No, no son lo mío;25 - 34 años;Femenino;San Isidro;Una vez por semana o menos;Para llevar (al trabajo, estudio, paseo);Directo en redes sociales;Ingredientes naturales/saludables;La picante (pollo deshilachado, con salsa BBQ);Mayonesa;¡Definitivamente una crema de aguacate y cilantro, fresca y vibrante!;Poco interesado;No me gusta experimentar;Con papas (fritas, nativas o al hilo);Más de S/ 20.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);A veces;Poco probable;¡Me encanta la idea! Facilidad y sabor, perfecto para noches de series.
Sí, me encantan;Más de 45 años;Femenino;Lurín;2 a 3 veces por semana;En eventos o celebraciones pequeñas;Directo en redes sociales;Innovación o formato novedoso;La insaciable (chorizo con chimichurri);Ketchup;Mantequilla de almendras con un toque de sal marina, por favor.;Interesado;Me encanta innovar;Con cerveza u otra bebida alcohólica;Entre S/ 16.00 y S/ 20.00;Directo en redes sociales;A veces;Neutro;Calma el estrés, fácil de llevar, ideal para momentos de mindfulness.
No, no son lo mío;35 - 44 años;Femenino;Lima Cercado;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Apps de delivery;Innovación o formato novedoso;La insaciable (chorizo con chimichurri);Ketchup;Hummus de remolacha asada, ¡sería perfecto para un toque gourmet!;Interesado;A veces pruebo cosas nuevas;Prefiero solo el triple, sin acompañamientos;Entre S/ 12.00 y S/ 13.00;Apps de delivery;A veces;Poco probable;"Práctico para días ajetreados, pero quiero opciones más ""gourmet""."
Sí, me encantan;18 - 24 años;Femenino;San Miguel;2 a 3 veces por semana;Como almuerzo o cena ligera;Kioscos o carretillas;Sabor delicioso;La picante (pollo deshilachado, con salsa BBQ);Ají criollo;¡Uf, sinceramente! Una crema de aguacate y jalapeño, aunque dudo que funcione.;Poco interesado;No me gusta experimentar;Prefiero solo el triple, sin acompañamientos;Entre S/ 14.00 y S/ 15.00;Supermercados;Nunca;Neutro;Suena bien, pero dudo que supere mis expectativas culinarias.
Sí, me encantan;18 - 24 años;Masculino;San Borja;4 a 6 veces por semana;Para llevar (al trabajo, estudio, paseo);Kioscos o carretillas;Tamaño práctico y fácil de llevar;La picante (pollo deshilachado, con salsa BBQ);Tártara;¡Definitivamente una crema de aguacate y cilantro, súper fresca y vibrante! ✨🥑;Poco interesado;A veces pruebo cosas nuevas;Con papas (fritas, nativas o al hilo);Entre S/ 14.00 y S/ 15.00;Kioscos o carretillas;Nunca;Nada probable;¡Me encanta! Perfecto para estudiantes viajeros y foodies como yo. ✨
No, no son lo mío;18 - 24 años;Masculino;Jesús María;Todos los días;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Tamaño práctico y fácil de llevar;La golosito (pollito a la brasa con papitas);Ketchup;Mmm... quizás una crema de champiñones suave, si no es molestia.;Interesado;A veces pruebo cosas nuevas;Prefiero solo el triple, sin acompañamientos;Menos de S/ 11.00;Directo en redes sociales;A veces;Neutro;Práctico, pero necesito ver si encaja en mi rutina ajetreada.
Sí, me encantan;35 - 44 años;Femenino;Chorrillos;Todos los días;En eventos o celebraciones pequeñas;Apps de delivery;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Mayonesa;¡Mantequilla de maní con chocolate! ¡Sería épica para fotos! ✨;Nada interesado;A veces pruebo cosas nuevas;Prefiero solo el triple, sin acompañamientos;Entre S/ 12.00 y S/ 13.00;Ferias o mercados locales;A veces;Probable;¡Genial! Fácil, rápido, nutritivo... ¡y fotos perfectas para Insta! ✨
No, no son lo mío;Más de 45 años;Masculino;Villa María del Triunfo;Una vez por semana o menos;Para llevar (al trabajo, estudio, paseo);Ferias o mercados locales;Tamaño práctico y fácil de llevar;La insaciable (chorizo con chimichurri);Tártara;Hummus de remolacha, ¡sí! Algo fresco y con color, como mi jardín.;Nada interesado;Prefiero los sabores clásicos;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Directo en redes sociales;Nunca;Nada probable;Me gusta la idea, pero necesito más info nutricional detallada.
No, no son lo mío;35 - 44 años;Masculino;Breña;Rara vez o nunca;Como un snack rápido entre comidas (media mañana/tarde);Supermercados;Sabor delicioso;La picante (pollo deshilachado, con salsa BBQ);Mayonesa;¡Uf, difícil! Quizás una crema de aguacate y cilantro, ¡refrescante!;Nada interesado;Prefiero los sabores clásicos;Con cerveza u otra bebida alcohólica;Más de S/ 20.00;Supermercados;Siempre;Probable;¡Me encanta la idea! Quizás opciones de especias más audaces, por favor.
No, no son lo mío;25 - 34 años;Femenino;Independencia;4 a 6 veces por semana;Para llevar (al trabajo, estudio, paseo);Directo en redes sociales;Sabor delicioso;La picante (pollo deshilachado, con salsa BBQ);Tártara;¡Definitivamente una crema de aguacate y cilantro, fresca y rápida!;Interesado;Me encanta innovar;Con papas (fritas, nativas o al hilo);Entre S/ 14.00 y S/ 15.00;Apps de delivery;Nunca;Muy probable;Fácil, rápido, nutritivo y visualmente atractivo: ¡ideal para padres ocupados!
Sí, me encantan;Menos de 18 años;Masculino;Magdalena del Mar;2 a 3 veces por semana;En reuniones con amigos o familiares;Apps de delivery;Sabor delicioso;La picante (pollo deshilachado, con salsa BBQ);Ají criollo;¡Mmm, crema de lavanda con miel, sería celestial con el triple! 💜;Muy interesado;No me gusta experimentar;Con cerveza u otra bebida alcohólica;Entre S/ 14.00 y S/ 15.00;Ferias o mercados locales;Siempre;Muy probable;¡Delicioso! Textura sorprendente, quizás un toque cítrico sutil lo elevaría.
No, no son lo mío;25 - 34 años;Masculino;Ancón;Todos los días;Para llevar (al trabajo, estudio, paseo);Tiendas de conveniencia (Tambo, Oxxo, etc.);Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Tártara;¡Crema de aguacate y cilantro tostado, un toque fresco y audaz!;Interesado;A veces pruebo cosas nuevas;Prefiero solo el triple, sin acompañamientos;Más de S/ 20.00;Kioscos o carretillas;A veces;Muy probable;¡Excelente! Simplifica la cocina, pero no sacrifique el sabor, por favor.
Sí, me encantan;Menos de 18 años;Masculino;San Juan de Miraflores;4 a 6 veces por semana;En reuniones con amigos o familiares;Supermercados;Tamaño práctico y fácil de llevar;La insaciable (chorizo con chimichurri);Tártara;¡Absolutamente! Una crema de aguacate y cilantro, fresca y vibrante. ✨🥑;Nada interesado;No me gusta experimentar;Con cerveza u otra bebida alcohólica;Menos de S/ 11.00;Directo en redes sociales;A veces;Muy probable;¡Increíble! Podría inspirar cenas temáticas como mis series favoritas. ✨
Sí, me encantan;Más de 45 años;Masculino;Barranco;2 a 3 veces por semana;Para llevar (al trabajo, estudio, paseo);Directo en redes sociales;Precio accesible;La picante (pollo deshilachado, con salsa BBQ);Tártara;¡Definitivamente una crema de lavanda con miel, suena celestial! ✨;Interesado;No me gusta experimentar;Prefiero solo el triple, sin acompañamientos;Más de S/ 20.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Siempre;Poco probable;¡Me encanta la audacia! ¿Versiones picantes o con ingredientes inesperados, porfa?
No, no son lo mío;Más de 45 años;Masculino;San Isidro;Todos los días;En reuniones con amigos o familiares;Kioscos o carretillas;Tamaño práctico y fácil de llevar;La insaciable (chorizo con chimichurri);Ají criollo;¡Hummus de remolacha asada con un toque de jengibre, por favor!;Muy interesado;Prefiero los sabores clásicos;Prefiero solo el triple, sin acompañamientos;Entre S/ 14.00 y S/ 15.00;Apps de delivery;Nunca;Neutro;¡Delicioso y nutritivo! Ideal para mi estilo de vida activo y creativo.
Sí, me encantan;25 - 34 años;Femenino;San Isidro;Una vez por semana o menos;Para llevar (al trabajo, estudio, paseo);Supermercados;Precio accesible;La insaciable (chorizo con chimichurri);Mayonesa;¡Mantequilla de almendras con un toque de canela, por favor!;Muy interesado;A veces pruebo cosas nuevas;Con cerveza u otra bebida alcohólica;Entre S/ 16.00 y S/ 20.00;Apps de delivery;A veces;Poco probable;¡Perfecto para mi estilo de vida activo y social! ¡Delicioso!
No, no son lo mío;Menos de 18 años;Masculino;Villa El Salvador;2 a 3 veces por semana;Como almuerzo o cena ligera;Directo en redes sociales;Tamaño práctico y fácil de llevar;La picante (pollo deshilachado, con salsa BBQ);Ketchup;¡Mantequilla de almendras con un toque de canela, porfa! 🤩;Nada interesado;Prefiero los sabores clásicos;Con papas (fritas, nativas o al hilo);Entre S/ 16.00 y S/ 20.00;Supermercados;Rara vez;Muy probable;¡Me encanta! Sabor increíble, energía duradera, ¡perfecto para mis metas!
No, no son lo mío;Más de 45 años;Masculino;Santa Anita;4 a 6 veces por semana;Como almuerzo o cena ligera;Directo en redes sociales;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Mayonesa;¡Definitivamente una crema de ají amarillo con queso fresco, porfa! 😋;Nada interesado;Prefiero los sabores clásicos;Con cerveza u otra bebida alcohólica;Entre S/ 16.00 y S/ 20.00;Directo en redes sociales;A veces;Neutro;¡Súper! Que sea fácil de llevar y combinar con música. 🎶
No, no son lo mío;18 - 24 años;Masculino;Lima Cercado;4 a 6 veces por semana;En eventos o celebraciones pequeñas;Apps de delivery;Sabor delicioso;La golosito (pollito a la brasa con papitas);Ají criollo;Ají amarillo cremoso, pero dudo que lo hagan bien.;Nada interesado;No me gusta experimentar;Con cerveza u otra bebida alcohólica;Menos de S/ 11.00;Apps de delivery;Nunca;Probable;Dudo que supere a la sazón de mi abuela, pero inténtenlo.
Sí, me encantan;Más de 45 años;Masculino;San Isidro;Rara vez o nunca;En reuniones con amigos o familiares;Supermercados;Tamaño práctico y fácil de llevar;La insaciable (chorizo con chimichurri);Ketchup;¡Absolutamente! Una crema de aguacate y cilantro, fresca y vibrante.;Muy interesado;Prefiero los sabores clásicos;Con papas (fritas, nativas o al hilo);Más de S/ 20.00;Kioscos o carretillas;Siempre;Probable;¡Visualmente atractivo, fácil de usar y delicioso! ¡Un acierto total!
No, no son lo mío;18 - 24 años;Masculino;Lima Cercado;Una vez por semana o menos;En reuniones con amigos o familiares;Ferias o mercados locales;Sabor delicioso;La golosito (pollito a la brasa con papitas);Ají criollo;¡Chimichurri de cilantro y jalapeño! Le da vida a todo, ¡necesito energía!;Interesado;No me gusta experimentar;Prefiero solo el triple, sin acompañamientos;Entre S/ 14.00 y S/ 15.00;Supermercados;Siempre;Neutro;Fácil, rápido, saludable... ¡necesito esto para sobrevivir a la semana!
No, no son lo mío;18 - 24 años;Femenino;San Juan de Miraflores;4 a 6 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Supermercados;Innovación o formato novedoso;La insaciable (chorizo con chimichurri);Mayonesa;¡Uf, sí! Una crema de lavanda y miel, aunque seguramente fallará.;Poco interesado;Me encanta innovar;Prefiero solo el triple, sin acompañamientos;Entre S/ 14.00 y S/ 15.00;Apps de delivery;A veces;Probable;Suena bien, pero probablemente terminará siendo decepcionante, como siempre.
Sí, me encantan;18 - 24 años;Femenino;Breña;Todos los días;Para el desayuno o lonche;Supermercados;Tamaño práctico y fácil de llevar;La insaciable (chorizo con chimichurri);Ají criollo;¡Ají amarillo cremoso! Le daría un toque andino perfecto.;Nada interesado;Me encanta innovar;Con papas (fritas, nativas o al hilo);Entre S/ 14.00 y S/ 15.00;Kioscos o carretillas;Nunca;Muy probable;¡Interesante! Un poco dulce, pero necesito más proteína para mi ritmo.
No, no son lo mío;18 - 24 años;Masculino;Chorrillos;Una vez por semana o menos;En reuniones con amigos o familiares;Apps de delivery;Sabor delicioso;La picante (pollo deshilachado, con salsa BBQ);Tártara;¡Ají amarillo cremoso con un toque de cilantro, por favor!;Interesado;Prefiero los sabores clásicos;Prefiero solo el triple, sin acompañamientos;Menos de S/ 11.00;Apps de delivery;Rara vez;Neutro;¡Genial! Facilita cenas rápidas y nutritivas, ¡lo necesito urgentemente!
No, no son lo mío;25 - 34 años;Masculino;Pachacámac;2 a 3 veces por semana;En eventos o celebraciones pequeñas;Supermercados;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Ají criollo;Mmm... ¡Quizás una crema de aguacate picante, porfa! 🥑🌶️;Interesado;Prefiero los sabores clásicos;Con papas (fritas, nativas o al hilo);Entre S/ 14.00 y S/ 15.00;Kioscos o carretillas;Siempre;Poco probable;¡Delicioso y energético! Perfecto para antes o después de entrenar. 😊
Sí, me encantan;25 - 34 años;Femenino;Santa Anita;4 a 6 veces por semana;Para llevar (al trabajo, estudio, paseo);Tiendas de conveniencia (Tambo, Oxxo, etc.);Sabor delicioso;La golosito (pollito a la brasa con papitas);Ají criollo;Hummus de remolacha, ¡sería perfecto para mojar y viajar!;Interesado;No me gusta experimentar;Prefiero solo el triple, sin acompañamientos;Entre S/ 14.00 y S/ 15.00;Ferias o mercados locales;A veces;Poco probable;Práctico para viajes, pero necesito más info nutricional detallada.
Sí, me encantan;25 - 34 años;Femenino;La Victoria;Una vez por semana o menos;Para llevar (al trabajo, estudio, paseo);Tiendas de conveniencia (Tambo, Oxxo, etc.);Precio accesible;La picante (pollo deshilachado, con salsa BBQ);Ketchup;¡Absolutamente! Crema de aguacate y cilantro, fresca y vibrante.;Muy interesado;Me encanta innovar;Prefiero solo el triple, sin acompañamientos;Más de S/ 20.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Siempre;Neutro;¡Excelente iniciativa! Facilita la vida y despierta la creatividad culinaria.
No, no son lo mío;25 - 34 años;Femenino;San Bartolo;4 a 6 veces por semana;Para el desayuno o lonche;Directo en redes sociales;Sabor delicioso;La insaciable (chorizo con chimichurri);Ají criollo;¡Mermelada de higos casera, de mi jardín, sería perfecta!;Poco interesado;Prefiero los sabores clásicos;Prefiero solo el triple, sin acompañamientos;Más de S/ 20.00;Directo en redes sociales;A veces;Neutro;¡Fácil, rápido y nutritivo! Perfecto para padres aventureros y ocupados.
No, no son lo mío;18 - 24 años;Masculino;Chorrillos;Una vez por semana o menos;En reuniones con amigos o familiares;Tiendas de conveniencia (Tambo, Oxxo, etc.);Precio accesible;La golosito (pollito a la brasa con papitas);Ají criollo;¡Mantequilla de almendras con un toque de cacao, sí! ¡Energía pura!;Poco interesado;Prefiero los sabores clásicos;Con cerveza u otra bebida alcohólica;Entre S/ 14.00 y S/ 15.00;Supermercados;Siempre;Nada probable;¡Energía pura! Ideal para mi ritmo, tanto en deporte como en música.
No, no son lo mío;35 - 44 años;Femenino;San Luis;Una vez por semana o menos;Como almuerzo o cena ligera;Kioscos o carretillas;Sabor delicioso;La picante (pollo deshilachado, con salsa BBQ);Tártara;¡Mmm, una crema de aguacate y cilantro, súper fresca y vibrante!;Poco interesado;A veces pruebo cosas nuevas;Con papas (fritas, nativas o al hilo);Entre S/ 16.00 y S/ 20.00;Apps de delivery;A veces;Probable;¡Suena genial! ¿Podría ser más versátil para estudiantes creativos?
No, no son lo mío;35 - 44 años;Masculino;Jesús María;Rara vez o nunca;En reuniones con amigos o familiares;Supermercados;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Mayonesa;¡Hummus de remolacha asada! Un toque diferente y saludable, ¡delicioso!;Nada interesado;No me gusta experimentar;Con cerveza u otra bebida alcohólica;Entre S/ 16.00 y S/ 20.00;Kioscos o carretillas;Rara vez;Poco probable;¡Me encanta la idea! Más opciones de sabores, por favor.
Sí, me encantan;25 - 34 años;Masculino;Barranco;2 a 3 veces por semana;En reuniones con amigos o familiares;Tiendas de conveniencia (Tambo, Oxxo, etc.);Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Mayonesa;¡Uy, qué difícil! Una crema de aguacate y cilantro, ¡explosiva! 🥑🌿;Poco interesado;A veces pruebo cosas nuevas;Con papas (fritas, nativas o al hilo);Menos de S/ 11.00;Kioscos o carretillas;Siempre;Probable;¡Delicioso y versátil! Ideal para improvisar en la cocina... y en el piano. 😉
Sí, me encantan;25 - 34 años;Masculino;Ate;4 a 6 veces por semana;Para llevar (al trabajo, estudio, paseo);Apps de delivery;Innovación o formato novedoso;La golosito (pollito a la brasa con papitas);Mayonesa;¡Ajá! ¡Una crema de aguacate y cilantro, por favor! ¡Delicioso! ✨🥑🌿;Interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Siempre;Nada probable;¡Delicioso y reconfortante! Perfecto para una pausa consciente y feliz.
No, no son lo mío;Menos de 18 años;Femenino;Comas;Una vez por semana o menos;Para el desayuno o lonche;Directo en redes sociales;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Tártara;¡Definitivamente una crema de avellanas con un toque de sal marina! ✨;Interesado;Prefiero los sabores clásicos;Con cerveza u otra bebida alcohólica;Entre S/ 14.00 y S/ 15.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Rara vez;Nada probable;¡Delicioso y fácil! Ideal para recargar energías antes de meditar. ✨
Sí, me encantan;Más de 45 años;Masculino;Santa Rosa;Todos los días;En eventos o celebraciones pequeñas;Kioscos o carretillas;Sabor delicioso;La insaciable (chorizo con chimichurri);Tártara;¡Mmm, una crema de aguacate y cilantro sería perfecta! 🥑🌿;Muy interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Apps de delivery;A veces;Poco probable;¡Delicioso y crujiente! Perfecto para disfrutar en el jardín, ¡me encanta!
Sí, me encantan;Más de 45 años;Femenino;Independencia;Una vez por semana o menos;Para llevar (al trabajo, estudio, paseo);Tiendas de conveniencia (Tambo, Oxxo, etc.);Precio accesible;La insaciable (chorizo con chimichurri);Ketchup;¡Definitivamente! Crema de pistacho salado con un toque de cardamomo.;Nada interesado;A veces pruebo cosas nuevas;Prefiero solo el triple, sin acompañamientos;Entre S/ 14.00 y S/ 15.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Nunca;Poco probable;¡Innovador! Potencial para versiones premium y maridajes inesperados, me encanta!
No, no son lo mío;25 - 34 años;Masculino;Ancón;Rara vez o nunca;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Sabor delicioso;La golosito (pollito a la brasa con papitas);Mayonesa;Ugh, probablemente nada me anime, pero... ¿Nutella? Necesito energía.;Muy interesado;A veces pruebo cosas nuevas;Con cerveza u otra bebida alcohólica;Más de S/ 20.00;Kioscos o carretillas;A veces;Probable;Sabe a deber, pero al menos me distrae del estrés.
Sí, me encantan;Menos de 18 años;Femenino;Carabayllo;Rara vez o nunca;En eventos o celebraciones pequeñas;Ferias o mercados locales;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Ketchup;Mmm... dulce de leche, ¡siempre es un clásico reconfortante!;Poco interesado;No me gusta experimentar;Con gaseosa, jugo o agua;Más de S/ 20.00;Kioscos o carretillas;Nunca;Nada probable;Fácil, rápido y sin complicaciones. Perfecto para mi vida ajetreada.
Sí, me encantan;35 - 44 años;Femenino;Carabayllo;Una vez por semana o menos;Como almuerzo o cena ligera;Apps de delivery;Innovación o formato novedoso;La insaciable (chorizo con chimichurri);Ketchup;Uf, sinceramente... una crema de aguacate y cilantro, quizás. No sé.;Nada interesado;No me gusta experimentar;Con papas (fritas, nativas o al hilo);Entre S/ 12.00 y S/ 13.00;Ferias o mercados locales;A veces;Muy probable;Meh, probablemente no supere mis expectativas. Pero, adelante.
Sí, me encantan;Menos de 18 años;Masculino;Lima Cercado;2 a 3 veces por semana;Para el desayuno o lonche;Ferias o mercados locales;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Ketchup;¡Absolutamente! Crema de lavanda con miel, suena celestial con el triple. 💜;Poco interesado;Me encanta innovar;Con cerveza u otra bebida alcohólica;Entre S/ 14.00 y S/ 15.00;Ferias o mercados locales;Nunca;Neutro;¡Me encanta la idea! ¿Versiones picantes o con especias exóticas, porfa? ✨
Sí, me encantan;Más de 45 años;Masculino;Santa Anita;2 a 3 veces por semana;Para el desayuno o lonche;Tiendas de conveniencia (Tambo, Oxxo, etc.);Innovación o formato novedoso;La insaciable (chorizo con chimichurri);Tártara;Mantequilla de maní con chocolate y un toque de sal marina.;Nada interesado;Prefiero los sabores clásicos;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Ferias o mercados locales;Rara vez;Poco probable;Me vendría bien algo que calme y me dé energía, ¡wow!
Sí, me encantan;Más de 45 años;Femenino;Magdalena del Mar;Rara vez o nunca;Para el desayuno o lonche;Directo en redes sociales;Tamaño práctico y fácil de llevar;La golosito (pollito a la brasa con papitas);Ketchup;Ugh, ¿alguna? Da igual, seguro que todas saben igual... Mango, supongo.;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Directo en redes sociales;Siempre;Muy probable;Suena bien, pero dudo que tenga tiempo para usarlo.
Sí, me encantan;Menos de 18 años;Masculino;Cieneguilla;4 a 6 veces por semana;Para llevar (al trabajo, estudio, paseo);Tiendas de conveniencia (Tambo, Oxxo, etc.);Sabor delicioso;La golosito (pollito a la brasa con papitas);Mayonesa;Mantequilla de almendras con CBD y maca para energía zen.;Interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Menos de S/ 11.00;Kioscos o carretillas;Nunca;Probable;Necesito energía sostenida, calma el estrés y apoya mi bienestar.
Sí, me encantan;Menos de 18 años;Masculino;San Isidro;2 a 3 veces por semana;Como almuerzo o cena ligera;Tiendas de conveniencia (Tambo, Oxxo, etc.);Precio accesible;La picante (pollo deshilachado, con salsa BBQ);Ketchup;Mmm, una crema de aguacate y cilantro, ¡sería sublime!;Nada interesado;A veces pruebo cosas nuevas;Con cerveza u otra bebida alcohólica;Más de S/ 20.00;Apps de delivery;Nunca;Neutro;Sabor auténtico, textura agradable. Ideal para viajeros exigentes como yo.
No, no son lo mío;18 - 24 años;Masculino;Lima Cercado;Rara vez o nunca;Para llevar (al trabajo, estudio, paseo);Tiendas de conveniencia (Tambo, Oxxo, etc.);Sabor delicioso;La insaciable (chorizo con chimichurri);Tártara;¡Definitivamente matcha con un toque de yuzu! Suena épico.;Nada interesado;No me gusta experimentar;Prefiero solo el triple, sin acompañamientos;Menos de S/ 11.00;Directo en redes sociales;Nunca;Muy probable;¡Sabor innovador! Más opciones veganas y colaboraciones con streamers, porfa.
No, no son lo mío;25 - 34 años;Masculino;Comas;Todos los días;Como un snack rápido entre comidas (media mañana/tarde);Tiendas de conveniencia (Tambo, Oxxo, etc.);Tamaño práctico y fácil de llevar;La golosito (pollito a la brasa con papitas);Ají criollo;¡Definitivamente una crema de aguacate y cilantro con un toque picante! 🥑🌶️;Poco interesado;Prefiero los sabores clásicos;Con papas (fritas, nativas o al hilo);Entre S/ 12.00 y S/ 13.00;Ferias o mercados locales;Siempre;Poco probable;¡Me encanta! Podría ser aún más versátil con recetas creativas.
